时间,4#温度[℃]
 2025-08-19 16:50:57.4131,31.16678
 2025-08-19 16:50:57.4132,31.173769
 2025-08-19 16:50:57.4133,31.172992
 2025-08-19 16:50:57.4134,31.172216
 2025-08-19 16:50:57.4135,31.155909
 2025-08-19 16:50:57.4136,31.162897
 2025-08-19 16:50:57.4137,31.169886
 2025-08-19 16:50:57.4138,31.176875
 2025-08-19 16:50:57.4139,31.168333
 2025-08-19 16:50:57.4140,31.159791
 2025-08-19 16:50:57.4141,31.15125
 2025-08-19 16:50:57.4142,31.15125
 2025-08-19 16:50:57.4143,31.143484
 2025-08-19 16:50:57.4144,31.143484
 2025-08-19 16:50:57.4145,31.127954
 2025-08-19 16:50:57.4146,31.143484
 2025-08-19 16:50:57.4147,31.143484
 2025-08-19 16:50:57.4148,31.143484
 2025-08-19 16:50:57.4149,31.143484
 2025-08-19 16:50:57.4150,31.127954
 2025-08-19 16:50:57.4151,31.15125
 2025-08-19 16:50:57.4152,31.159015
 2025-08-19 16:50:57.4153,31.159015
 2025-08-19 16:50:57.4154,31.16678
 2025-08-19 16:50:57.4155,31.159015
 2025-08-19 16:50:57.4156,31.190076
 2025-08-19 16:50:57.4157,31.190076
 2025-08-19 16:50:57.4158,31.190076
 2025-08-19 16:50:57.4159,31.190076
 2025-08-19 16:50:57.4160,31.18231
 2025-08-19 16:50:57.4161,31.213371
 2025-08-19 16:50:57.4162,31.205606
 2025-08-19 16:50:57.4163,31.213372
 2025-08-19 16:50:57.4164,31.213372
 2025-08-19 16:50:57.4165,31.182311
 2025-08-19 16:50:57.4166,31.197842
 2025-08-19 16:50:57.4167,31.190077
 2025-08-19 16:50:57.4168,31.182312
 2025-08-19 16:50:57.4169,31.174546
 2025-08-19 16:50:57.4170,31.15125
 2025-08-19 16:50:57.4171,31.159016
 2025-08-19 16:50:57.4172,31.15125
 2025-08-19 16:50:57.4173,31.143485
 2025-08-19 16:50:57.4174,31.15125
 2025-08-19 16:50:57.4175,31.127954
 2025-08-19 16:50:57.4176,31.174545
 2025-08-19 16:50:57.4177,31.166779
 2025-08-19 16:50:57.4178,31.174544
 2025-08-19 16:50:57.4179,31.190075
 2025-08-19 16:50:57.4180,31.16678
 2025-08-19 16:50:57.4181,31.190075
 2025-08-19 16:50:57.4182,31.18231
 2025-08-19 16:50:57.4183,31.18231
 2025-08-19 16:50:57.4184,31.18231
 2025-08-19 16:50:57.4185,31.159014
 2025-08-19 16:50:57.4186,31.190075
 2025-08-19 16:50:57.4187,31.159014
 2025-08-19 16:50:57.4188,31.16678
 2025-08-19 16:50:57.4189,31.159015
 2025-08-19 16:50:57.4190,31.159015
 2025-08-19 16:50:57.4191,31.190075
 2025-08-19 16:50:57.4192,31.190075
 2025-08-19 16:50:57.4193,31.197841
 2025-08-19 16:50:57.4194,31.205607
 2025-08-19 16:50:57.4195,31.190077
 2025-08-19 16:50:57.4196,31.197842
 2025-08-19 16:50:57.4197,31.190077
 2025-08-19 16:50:57.4198,31.205608
 2025-08-19 16:50:57.4199,31.197842
 2025-08-19 16:50:57.4200,31.166781
 2025-08-19 16:50:57.4201,31.174546
 2025-08-19 16:50:57.4202,31.159015
 2025-08-19 16:50:57.4203,31.16678
 2025-08-19 16:50:57.4204,31.16678
 2025-08-19 16:50:57.4205,31.13572
 2025-08-19 16:50:57.4206,31.16678
 2025-08-19 16:50:57.4207,31.16678
 2025-08-19 16:50:57.4208,31.16678
 2025-08-19 16:50:57.4209,31.15125
 2025-08-19 16:50:57.4210,31.13572
 2025-08-19 16:50:57.4211,31.159015
 2025-08-19 16:50:57.4212,31.15125
 2025-08-19 16:50:57.4213,31.159015
 2025-08-19 16:50:57.4214,31.159015
 2025-08-19 16:50:57.4215,31.120189
 2025-08-19 16:50:57.4216,31.159015
 2025-08-19 16:50:57.4217,31.15125
 2025-08-19 16:50:57.4218,31.15125
 2025-08-19 16:50:57.4219,31.15125
 2025-08-19 16:50:57.4220,31.15125
 2025-08-19 16:50:57.4221,31.174545
 2025-08-19 16:50:57.4222,31.182311
 2025-08-19 16:50:57.4223,31.182311
 2025-08-19 16:50:57.4224,31.190077
 2025-08-19 16:50:57.4225,31.174546
 2025-08-19 16:50:57.4226,31.205606
 2025-08-19 16:50:57.4227,31.205606
 2025-08-19 16:50:57.4228,31.205606
 2025-08-19 16:50:57.4229,31.213372
 2025-08-19 16:50:57.4230,31.205606
 2025-08-19 16:50:57.4231,31.221137
 2025-08-19 16:50:57.4232,31.213371
 2025-08-19 16:50:57.4233,31.221136
 2025-08-19 16:50:57.4234,31.213371
 2025-08-19 16:50:57.4235,31.205605
 2025-08-19 16:50:57.4236,31.213371
 2025-08-19 16:50:57.4237,31.221136
 2025-08-19 16:50:57.4238,31.213371
 2025-08-19 16:50:57.4239,31.213371
 2025-08-19 16:50:57.4240,31.213371
 2025-08-19 16:50:57.4241,31.213371
 2025-08-19 16:50:57.4242,31.213371
 2025-08-19 16:50:57.4243,31.221137
 2025-08-19 16:50:57.4244,31.213372
 2025-08-19 16:50:57.4245,31.221138
 2025-08-19 16:50:57.4246,31.228904
 2025-08-19 16:50:57.4247,31.228904
 2025-08-19 16:50:57.4248,31.213373
 2025-08-19 16:50:57.4249,31.213373
 2025-08-19 16:50:57.4250,31.190077
 2025-08-19 16:50:57.4251,31.190077
 2025-08-19 16:50:57.4252,31.205608
 2025-08-19 16:50:57.4253,31.197842
 2025-08-19 16:50:57.4254,31.205607
 2025-08-19 16:50:57.4255,31.213372
 2025-08-19 16:50:57.4256,31.205606
 2025-08-19 16:50:57.4257,31.205606
 2025-08-19 16:50:57.4258,31.19784
 2025-08-19 16:50:57.4259,31.213371
 2025-08-19 16:50:57.4260,31.205606
 2025-08-19 16:50:57.4261,31.228901
 2025-08-19 16:50:57.4262,31.236666
 2025-08-19 16:50:57.4263,31.221136
 2025-08-19 16:50:57.4264,31.236666
 2025-08-19 16:50:57.4265,31.213371
 2025-08-19 16:50:57.4266,31.205606
 2025-08-19 16:50:57.4267,31.221136
 2025-08-19 16:50:57.4268,31.228901
 2025-08-19 16:50:57.4269,31.244432
 2025-08-19 16:50:57.4270,31.228901
 2025-08-19 16:50:57.4271,31.221136
 2025-08-19 16:50:57.4272,31.228901
 2025-08-19 16:50:57.4273,31.213371
 2025-08-19 16:50:57.4274,31.221136
 2025-08-19 16:50:57.4275,31.205606
 2025-08-19 16:50:57.4276,31.213371
 2025-08-19 16:50:57.4277,31.213371
 2025-08-19 16:50:57.4278,31.205606
 2025-08-19 16:50:57.4279,31.19784
 2025-08-19 16:50:57.4280,31.174545
 2025-08-19 16:50:57.4281,31.18231
 2025-08-19 16:50:57.4282,31.19784
 2025-08-19 16:50:57.4283,31.190075
 2025-08-19 16:50:57.4284,31.197841
