Time,Temperature
0.0,28.78418
0.01,28.78418
0.02,28.768641
0.03,28.760871
0.04,28.745332
0.05,28.768641
0.06,28.745332
0.07,28.737561
0.08,28.768641
0.09,28.737563
0.1,28.753101
0.11,28.78418
0.12,28.76087
0.13,28.745332
0.14,28.753101
0.15,28.737563
0.16,28.760871
0.17,28.753102
0.18,28.737563
0.19,28.737563
0.2,28.745331
0.21,28.706484
0.22,28.823028
0.23,28.799719
0.24,28.768641
0.25,28.760871
0.26,28.768641
0.27,28.753101
0.28,28.745331
0.29,28.799719
0.3,28.745332
0.31,28.799719
0.32,28.791949
0.33,28.791949
0.34,28.722023
0.35,28.78418
0.36,28.737563
0.37,28.76087
0.38,28.77641
0.39,28.729792
0.4,28.745331
0.41,28.799719
0.42,28.737563
0.43,28.768641
0.44,28.753102
0.45,28.77641
0.46,28.745332
0.47,28.815258
0.48,28.760871
0.49,28.760871
0.5,28.768641
0.51,28.77641
0.52,28.753102
0.53,28.791949
0.54,28.791949
0.55,28.753102
0.56,28.78418
0.57,28.78418
0.58,28.729792
0.59,28.753101
0.6,28.76087
0.61,28.729792
0.62,28.753102
0.63,28.753102
0.64,28.745331
0.65,28.753102
0.66,28.745332
0.67,28.768641
0.68,28.753102
0.69,28.76087
0.7,28.745331
0.71,28.722023
0.72,28.77641
0.73,28.78418
0.74,28.78418
0.75,28.768641
0.76,28.768641
0.77,28.78418
0.78,28.77641
0.79,28.807488
0.8,28.823028
0.81,28.791949
0.82,28.78418
0.83,28.799719
0.84,28.77641
0.85,28.768641
0.86,28.760871
0.87,28.737562
0.88,28.722023
0.89,28.745332
0.9,28.745332
0.91,28.753102
0.92,28.753102
0.93,28.737562
0.94,28.76087
0.95,28.77641
0.96,28.753101
0.97,28.753102
0.98,28.78418
0.99,28.737563
1.0,28.76087
1.01,28.77641
1.02,28.737563
1.03,28.760871
1.04,28.77641
1.05,28.78418
1.06,28.76864
1.07,28.729793
1.08,28.807488
1.09,28.760871
1.1,28.78418
1.11,28.768641
1.12,28.791949
1.13,28.76864
1.1400000000000001,28.77641
1.15,28.78418
1.16,28.760871
1.17,28.78418
1.18,28.78418
1.19,28.77641
1.2,28.745331
1.21,28.768641
1.22,28.753102
1.23,28.737563
1.24,28.760871
1.25,28.78418
1.26,28.799719
1.27,28.77641
1.28,28.729792
1.29,28.768641
1.3,28.768641
1.31,28.768641
1.32,28.760871
1.33,28.745332
1.34,28.784179
1.35,28.76087
1.3599999999999999,28.791949
1.37,28.760871
1.38,28.760871
1.3900000000000001,28.791949
1.4,28.768641
1.41,28.77641
1.42,28.768641
1.43,28.753102
1.44,28.729792
1.45,28.78418
1.46,28.753102
1.47,28.760871
1.48,28.78418
1.49,28.753102
1.5,28.77641
1.51,28.77641
1.52,28.745332
1.53,28.78418
1.54,28.729793
1.55,28.737563
1.56,28.768641
1.5699999999999998,28.791949
1.58,28.722022
1.5899999999999999,28.791949
1.6,28.768641
1.6099999999999999,28.76087
1.62,28.745332
1.63,28.77641
1.6400000000000001,28.745332
1.65,28.753102
1.6600000000000001,28.791949
1.67,28.737562
1.6800000000000002,28.77641
1.69,28.791949
1.7,28.737563
1.71,28.729792
1.72,28.78418
1.73,28.807488
1.74,28.76087
1.75,28.698713
1.76,28.78418
1.77,28.760871
1.78,28.791949
1.79,28.791949
1.8,28.768641
1.81,28.77641
1.8199999999999998,28.760871
1.83,28.768641
1.8399999999999999,28.753102
1.85,28.760871
1.8599999999999999,28.768641
1.87,28.768641
1.88,28.791949
1.8900000000000001,28.78418
1.9,28.861875
1.9100000000000001,28.854106
1.92,28.830797
1.9300000000000002,28.78418
1.94,28.838567
1.95,28.846336
1.96,28.815258
1.97,28.838567
1.98,28.799719
1.99,28.830797
2.0,28.799719
2.01,28.807488
2.02,28.807488
2.03,28.830797
2.04,28.838567
2.05,28.799719
2.06,28.815258
2.07,28.823028
2.08,28.791949
2.09,28.799719
2.1,28.838567
2.11,28.838567
2.12,28.799719
2.13,28.823028
2.14,28.768641
2.15,28.799719
2.16,28.768641
2.17,28.77641
2.18,28.737563
2.19,28.760871
2.2,28.698713
2.21,28.753101
2.22,28.768641
