Time,Temperature
0.0,21.061143
0.001,21.045604
0.002,21.037835
0.003,21.045604
0.004,21.076682
0.005,21.076682
0.006,21.045604
0.007,21.092222
0.008,21.068913
0.009,21.022295
0.01,21.061143
0.011,21.092222
0.012,21.076682
0.013,21.099991
0.014,21.084452
0.015,21.084452
0.016,21.068913
0.017,21.061143
0.018,21.076682
0.019,21.076682
0.02,21.061143
0.021,21.061143
0.022,21.061143
0.023,21.045604
0.024,21.061143
0.025,21.061143
0.026,21.068913
0.027,21.053374
0.028,21.076682
0.029,21.061143
0.03,21.045604
0.031,21.045603
0.032,21.061143
0.033,21.045604
0.034,21.045604
0.035,21.053374
0.036,21.045604
0.037,21.061143
0.038,21.061143
0.039,21.053374
0.04,21.061143
0.041,21.053372
0.042,21.068913
0.043,21.068913
0.044,21.053374
0.045,21.061143
0.046,21.053374
0.047,21.068912
0.048,21.053374
0.049,21.061143
0.05,21.037835
0.051,21.022295
0.052,21.045603
0.053,21.068912
0.054,21.045604
0.055,21.053374
0.056,21.030065
0.057,21.068913
0.058,21.076682
0.059,21.006755
0.06,21.053374
0.061,21.068912
0.062,21.045604
0.063,21.022295
0.064,21.045604
0.065,21.045604
0.066,21.061143
0.067,21.037835
0.068,21.068913
0.069,21.061143
0.07,21.030065
0.071,21.061143
0.072,21.061143
0.073,21.068913
0.074,21.061143
0.075,21.053372
0.076,21.076682
0.077,21.053374
0.078,21.030065
0.079,21.037833
0.08,21.053374
0.081,21.061143
0.082,21.053374
0.083,21.061143
0.084,21.068913
0.085,21.022295
0.086,21.037835
0.087,21.045604
0.088,21.068913
0.089,21.022295
0.09,21.061143
0.091,21.068913
0.092,21.053374
0.093,21.037835
0.094,21.076682
0.095,21.045604
0.096,21.061143
0.097,21.076682
0.098,21.053373
0.099,21.053373
0.1,21.053374
0.101,21.061143
0.102,21.068913
0.103,21.068913
0.104,21.061143
0.105,21.037835
0.106,21.068912
0.107,21.061143
0.108,21.045604
0.109,21.061143
0.11,21.053373
0.111,21.053374
0.112,21.053374
0.113,21.068912
0.114,21.068913
0.115,21.053374
0.116,21.061143
0.117,21.068912
0.118,21.045604
0.119,21.045604
0.12,21.076682
0.121,21.053374
0.122,21.053374
0.123,21.061143
0.124,21.076682
0.125,21.045604
0.126,21.045604
0.127,21.045604
0.128,21.068912
0.129,21.076682
0.13,21.076682
0.131,21.037835
0.132,21.068913
0.133,21.076682
0.134,21.076682
0.135,21.068913
0.136,21.061143
0.137,21.068913
0.138,21.068912
0.139,21.099991
0.14,21.092222
0.141,21.061143
0.142,21.037835
0.143,21.084452
0.144,21.053373
0.145,21.045603
0.146,21.061143
0.147,21.068913
0.148,21.045604
0.149,21.037834
0.15,21.092222
0.151,21.084452
0.152,21.045604
0.153,21.068913
0.154,21.053374
0.155,21.061143
0.156,21.068913
0.157,21.076682
0.158,21.076682
0.159,21.061143
0.16,21.053373
0.161,21.076682
0.162,21.099991
0.163,21.099991
0.164,21.068913
0.165,21.076682
0.166,21.061143
0.167,21.037834
0.168,21.053373
0.169,21.099991
0.17,21.045604
0.171,21.068913
0.172,21.092222
0.173,21.076682
0.174,21.084452
0.175,21.076682
0.176,21.076682
0.177,21.092222
0.178,21.092222
0.179,21.107761
0.18,21.053373
0.181,21.076682
0.182,21.084452
0.183,21.061143
0.184,21.061143
0.185,21.037834
0.186,21.053374
0.187,21.076682
0.188,21.068913
0.189,21.076682
0.19,21.045604
0.191,21.045604
0.192,21.076682
0.193,21.092222
0.194,21.068913
0.195,21.068913
0.196,21.084452
0.197,21.076682
0.198,21.076682
0.199,21.061143
0.2,21.068913
0.201,21.084452
0.202,21.076682
0.203,21.068913
0.204,21.045604
0.205,21.045604
0.206,21.053373
0.207,21.045604
0.208,21.045604
0.209,21.068913
0.21,21.022296
0.211,21.076682
0.212,21.068913
0.213,21.092222
0.214,21.076682
0.215,21.061143
0.216,21.076682
0.217,21.084452
0.218,21.084452
0.219,21.061143
0.22,21.061143
0.221,21.061143
0.222,21.061143
0.223,21.045604
0.224,21.068912
0.225,21.045604
0.226,21.045604
0.227,21.030065
0.228,21.068912
0.229,21.084452
0.23,21.030065
0.231,21.084451
0.232,21.068913
0.233,21.084452
0.234,21.068913
0.235,21.068912
0.236,21.068913
0.237,21.053374
0.238,21.092222
0.239,21.068912
0.24,21.061143
0.241,21.076682
0.242,21.092222
0.243,21.084451
0.244,21.053373
0.245,21.045604
0.246,21.061143
0.247,21.061143
0.248,21.061143
0.249,21.076682
0.25,21.053374
0.251,21.076682
0.252,21.076682
0.253,21.068913
0.254,21.107761
0.255,21.068913
0.256,21.068913
0.257,21.061143
0.258,21.084451
0.259,21.068913
0.26,21.053374
0.261,21.061143
0.262,21.053374
0.263,21.061143
0.264,21.068913
0.265,21.068913
0.266,21.09999
0.267,21.076682
0.268,21.022295
0.269,21.037834
0.27,21.037834
0.271,21.045604
0.272,21.053374
0.273,21.053374
0.274,21.076682
0.275,21.068913
0.276,21.053374
0.277,21.092221
0.278,21.068913
0.279,21.068912
0.28,21.061143
0.281,21.061143
0.282,21.084451
0.283,21.068913
0.284,21.076682
0.285,21.068913
0.286,21.045604
0.287,21.084451
0.288,21.053373
0.289,21.076682
0.29,21.076682
0.291,21.068913
0.292,21.099991
0.293,21.099991
0.294,21.099991
0.295,21.099991
0.296,21.068913
0.297,21.107761
0.298,21.068912
0.299,21.053374
0.3,21.092222
0.301,21.092222
0.302,21.053374
0.303,21.045604
0.304,21.068913
0.305,21.068912
0.306,21.068913
0.307,21.092222
0.308,21.076682
0.309,21.061142
0.31,21.084452
0.311,21.084452
0.312,21.076682
0.313,21.076682
0.314,21.099991
0.315,21.107761
0.316,21.092222
0.317,21.092222
0.318,21.11553
0.319,21.084451
0.32,21.099991
0.321,21.053374
0.322,21.084452
0.323,21.076682
0.324,21.053374
0.325,21.053374
0.326,21.061143
0.327,21.061143
0.328,21.076682
0.329,21.084452
0.33,21.068912
0.331,21.053374
0.332,21.092222
0.333,21.084452
0.334,21.092222
0.335,21.061143
0.336,21.084452
0.337,21.084452
0.338,21.076682
0.339,21.092222
0.34,21.076682
0.341,21.045604
0.342,21.076682
0.343,21.053374
0.344,21.084452
0.345,21.068913
0.346,21.068913
0.347,21.092222
0.348,21.061143
0.349,21.053374
0.35,21.053374
0.351,21.092222
0.352,21.045604
0.353,21.076682
0.354,21.092222
0.355,21.076682
0.356,21.068913
0.357,21.068913
0.358,21.068913
0.359,21.068913
0.36,21.045604
0.361,21.076682
0.362,21.076682
0.363,21.053374
0.364,21.030065
0.365,21.061143
0.366,21.068913
0.367,21.022295
0.368,21.053374
0.369,21.053374
0.37,21.030064
0.371,21.1233
0.372,21.053373
0.373,21.045604
0.374,21.076682
0.375,21.076682
0.376,21.037835
0.377,21.068912
0.378,21.068913
0.379,21.045603
0.38,21.037835
0.381,21.068913
0.382,21.061143
0.383,21.045604
0.384,21.068913
0.385,21.037834
0.386,21.045604
0.387,21.061142
0.388,21.099991
0.389,21.045604
0.39,21.037835
0.391,21.053374
0.392,21.092222
0.393,21.061143
0.394,21.092221
0.395,21.053374
0.396,21.076682
0.397,21.099991
0.398,21.053374
0.399,21.037835
0.4,21.061143
0.401,21.053374
0.402,21.045604
0.403,21.076682
0.404,21.045604
0.405,21.061143
0.406,21.068913
0.407,21.084452
0.408,21.092222
0.409,21.076682
0.41,21.045604
0.411,21.061143
0.412,21.076682
0.413,21.099991
0.414,21.076682
0.415,21.076682
0.416,21.084452
0.417,21.092222
0.418,21.053374
0.419,21.076682
0.42,21.092222
0.421,21.076682
0.422,21.092222
0.423,21.076682
0.424,21.068913
0.425,21.053373
0.426,21.045604
0.427,21.061143
0.428,21.061143
0.429,21.061143
0.43,21.061143
0.431,21.068913
0.432,21.061143
0.433,21.061143
0.434,21.068913
0.435,21.045604
0.436,21.068913
0.437,21.068913
0.438,21.045604
0.439,21.061143
0.44,21.037835
0.441,21.037834
0.442,21.061143
0.443,21.076682
0.444,21.076682
0.445,21.053373
0.446,21.084451
0.447,21.037833
0.448,21.045604
0.449,21.084452
0.45,21.076682
0.451,21.076682
0.452,21.084452
0.453,21.068913
0.454,21.084452
0.455,21.076682
0.456,21.061143
0.457,21.045604
0.458,21.030065
0.459,21.037835
0.46,21.030065
0.461,21.076682
0.462,21.030064
0.463,21.076682
0.464,21.030065
0.465,21.061143
0.466,21.092221
0.467,21.061143
0.468,21.061143
0.469,21.099991
0.47,21.107761
0.471,21.061143
0.472,21.068913
0.473,21.076682
0.474,21.053374
0.475,21.099991
0.476,21.084451
0.477,21.053374
0.478,21.068913
0.479,21.084452
0.48,21.076682
0.481,21.053374
0.482,21.030064
0.483,21.053374
0.484,21.045604
0.485,21.045604
0.486,21.061143
0.487,21.076682
0.488,21.045604
0.489,21.068913
0.49,21.053374
0.491,21.053374
0.492,21.068912
0.493,21.061143
0.494,21.084451
0.495,21.045603
0.496,21.053374
0.497,21.030065
0.498,21.084451
0.499,21.037834
0.5,21.107761
0.501,21.092222
0.502,21.099991
0.503,21.061143
0.504,21.061143
0.505,21.061142
0.506,21.068913
0.507,21.022294
0.508,21.053374
0.509,21.061143
0.51,21.006755
0.511,21.037834
0.512,21.037834
0.513,21.045604
0.514,21.037834
0.515,21.053374
0.516,21.068913
0.517,21.076682
0.518,21.053373
0.519,21.022293
0.52,21.061143
0.521,21.037835
0.522,21.014526
0.523,21.045604
0.524,21.068913
0.525,21.053374
0.526,21.061143
0.527,21.053374
0.528,21.084452
0.529,21.068912
0.53,21.061143
0.531,21.053373
0.532,21.022293
0.533,21.022295
0.534,21.014526
0.535,21.068912
0.536,21.053374
0.537,21.061143
0.538,21.037835
0.539,21.045604
0.54,21.022295
0.541,21.045604
0.542,21.045604
0.543,21.053374
0.544,21.084452
0.545,21.061143
0.546,21.068912
0.547,21.053374
0.548,21.061143
0.549,21.061143
0.55,21.037834
0.551,21.053374
0.552,21.053374
0.553,21.076682
0.554,21.099991
0.555,21.107761
0.556,21.076682
0.557,21.084452
0.558,21.053374
0.559,21.037833
0.56,21.068913
0.561,21.045604
0.562,21.068913
0.563,21.084452
0.564,21.061143
0.565,21.053374
0.566,21.053374
0.567,21.053374
0.568,21.053374
0.569,21.076682
0.57,21.045604
0.571,21.076682
0.572,21.053373
0.573,21.084452
0.574,21.076682
0.575,21.099991
0.576,21.107761
0.577,21.030065
0.578,21.022295
0.579,21.053374
0.58,21.022296
0.581,21.045604
0.582,21.037834
0.583,21.045604
0.584,21.061143
0.585,21.068913
0.586,21.053374
0.587,21.045604
0.588,21.061143
0.589,21.084452
0.59,21.068913
0.591,21.084452
0.592,21.107761
0.593,21.053374
0.594,21.068913
0.595,21.068913
0.596,21.068913
0.597,21.053374
0.598,21.061143
0.599,21.053374
0.6,21.037835
0.601,21.030065
0.602,21.084451
0.603,21.084452
0.604,21.068913
0.605,21.030065
0.606,21.053373
0.607,21.037835
0.608,21.022296
0.609,20.975676
0.61,21.037833
0.611,21.006756
0.612,20.975676
0.613,20.952368
0.614,21.037834
0.615,21.084452
0.616,21.154378
0.617,21.185456
0.618,21.076682
0.619,21.092222
0.62,21.1233
0.621,21.131069
0.622,21.053372
0.623,21.022294
0.624,21.014525
0.625,20.960137
0.626,21.037834
0.627,20.975675
0.628,21.030064
0.629,20.983446
0.63,21.084451
0.631,21.045604
0.632,20.991215
0.633,21.030064
0.634,21.053373
0.635,21.045603
0.636,21.045604
0.637,21.092222
0.638,21.131069
0.639,21.030063
0.64,20.998986
0.641,21.092222
0.642,21.022294
0.643,21.061143
0.644,21.068913
0.645,21.045604
0.646,21.006755
0.647,21.123299
0.648,21.169917
0.649,21.053373
0.65,21.053374
0.651,21.076682
0.652,21.045603
0.653,21.030064
0.654,21.068912
0.655,21.084452
0.656,21.107761
0.657,21.045604
0.658,21.045603
0.659,21.006756
0.66,21.084451
0.661,20.991216
0.662,21.061142
0.663,21.084452
0.664,21.10776
0.665,21.084451
0.666,21.084451
0.667,20.983446
0.668,21.053373
0.669,21.053373
0.67,21.045604
0.671,21.037833
0.672,21.045603
0.673,21.030064
0.674,21.037833
0.675,21.037833
0.676,21.11553
0.677,21.107761
0.678,21.037834
0.679,21.045604
0.68,21.076682
0.681,21.099991
0.682,21.076682
0.683,21.053373
0.684,21.099991
0.685,21.006754
0.686,21.037834
0.687,21.084451
0.688,21.030064
0.689,20.998986
0.69,21.022294
0.691,21.030064
0.692,21.037833
0.693,21.006755
0.694,21.068912
0.695,21.092222
0.696,21.11553
0.697,21.053373
0.698,21.061143
0.699,21.061143
0.7,21.006756
0.701,20.998986
0.702,21.037833
0.703,20.991216
0.704,21.053373
0.705,21.053374
0.706,21.061143
0.707,21.030064
0.708,21.053373
0.709,21.053374
0.71,21.045604
0.711,21.11553
0.712,21.084452
0.713,21.068912
0.714,21.084451
0.715,21.076682
0.716,21.061143
0.717,21.099991
0.718,21.11553
0.719,21.11553
0.72,21.068912
0.721,21.037833
0.722,21.053372
0.723,21.037834
0.724,21.068912
0.725,21.092222
0.726,21.076682
0.727,21.045604
0.728,21.076682
0.729,21.107761
0.73,21.09999
0.731,21.099991
0.732,21.092222
0.733,21.053373
0.734,21.037834
0.735,21.068913
0.736,21.068913
0.737,21.099991
0.738,21.037835
0.739,21.068913
0.74,21.084452
0.741,21.076682
0.742,21.068912
0.743,21.084451
0.744,21.092222
0.745,21.045604
0.746,21.076682
0.747,21.022294
0.748,21.053373
0.749,21.014526
0.75,21.076682
0.751,21.107761
0.752,21.09999
0.753,21.092222
0.754,21.076682
0.755,21.092222
0.756,21.11553
0.757,21.107761
0.758,21.084452
0.759,21.068913
0.76,21.076682
0.761,21.084452
0.762,21.068913
0.763,21.092221
0.764,21.053374
0.765,21.030065
0.766,21.076682
0.767,21.084452
0.768,21.076682
0.769,21.045604
0.77,21.076682
0.771,21.061143
0.772,21.099991
0.773,21.061142
0.774,21.061142
0.775,21.037833
0.776,21.022294
0.777,21.037834
0.778,20.967906
0.779,21.061143
0.78,21.022293
0.781,20.998986
0.782,21.022294
0.783,21.076682
0.784,21.053372
0.785,21.068912
0.786,20.983446
0.787,21.037833
0.788,21.09999
0.789,21.045604
0.79,21.045603
0.791,21.022294
0.792,21.084451
0.793,21.053373
0.794,21.014525
0.795,21.053373
0.796,21.022296
0.797,21.061143
0.798,21.022293
0.799,20.998985
0.8,21.045604
0.801,21.030064
0.802,21.014523
0.803,21.045603
0.804,21.131069
0.805,21.084452
0.806,21.037833
0.807,20.967906
0.808,21.084451
0.809,21.037834
0.81,21.068913
0.811,21.076682
0.812,21.037833
0.813,21.022294
0.814,21.099991
0.815,21.037834
0.816,21.022295
0.817,21.037835
0.818,21.076682
0.819,21.061143
0.82,21.084452
0.821,21.045604
0.822,21.084451
0.823,21.037833
0.824,21.076682
0.825,21.037835
0.826,21.014525
0.827,21.076682
0.828,21.076682
0.829,21.099991
0.83,21.037833
0.831,21.037834
0.832,21.084451
0.833,21.099991
0.834,21.146608
0.835,21.084451
0.836,21.037833
0.837,21.076682
0.838,21.11553
0.839,21.022294
0.84,21.022294
0.841,21.030064
0.842,21.068912
0.843,21.1233
0.844,20.991216
0.845,21.068913
0.846,21.022294
