Time,Temperature
0.0,31.394784
1.0,31.363704
2.0,31.387015
3.0,31.433633
3.0001,31.441402
3.0002,31.439071
3.0003,31.44451
3.0004,31.449949
3.0005,31.447618
3.0006,31.437517
3.0007,31.427416
3.0008,31.425085
3.0009,31.430524
3.001,31.428193
3.0011,31.441402
3.0012,31.425863
3.0013,31.418092
3.0014,31.410323
3.0015,31.402553
3.0016,31.394783
3.0017,31.394783
3.0018,31.402553
3.0019,31.402553
3.002,31.394784
3.0021,31.394784
3.0022,31.371474
3.0023,31.371474
3.0024,31.379245
3.0025,31.387014
3.0026,31.387014
3.0027,31.394784
3.0028,31.394784
3.0029,31.410324
3.003,31.402553
3.0031,31.402553
3.0032,31.402553
3.0033,31.418093
3.0034,31.418093
3.0035,31.425863
3.0036,31.425863
3.0037,31.441402
3.0038,31.449171
3.0039,31.449171
3.004,31.449171
3.0041,31.456941
3.0042,31.456941
3.0043,31.464711
3.0044,31.456941
3.0045,31.456941
3.0046,31.456941
3.0047,31.456941
3.0048,31.441402
3.0049,31.449172
3.005,31.464712
3.0051,31.449173
3.0052,31.456942
3.0053,31.456942
3.0054,31.456942
3.0055,31.464712
3.0056,31.464712
3.0057,31.456942
3.0058,31.449173
3.0059,31.449173
3.006,31.433634
3.0061,31.425864
3.0062,31.433634
3.0063,31.425864
3.0064,31.425864
3.0065,31.418095
3.0066,31.410325
3.0067,31.410325
3.0068,31.418095
3.0069,31.425864
3.007,31.433634
3.0071,31.433634
3.0072,31.433634
3.0073,31.433634
3.0074,31.425863
3.0075,31.433633
3.0076,31.441402
3.0077,31.441402
3.0078,31.433632
3.0079,31.433632
3.008,31.433632
3.0081,31.425863
3.0082,31.433632
3.0083,31.441402
3.0084,31.433632
3.0085,31.456941
3.0086,31.449172
3.0087,31.449172
3.0088,31.449172
3.0089,31.456942
3.009,31.480251
3.0091,31.464711
3.0092,31.464711
3.0093,31.464711
3.0094,31.456941
3.0095,31.464711
3.0096,31.449172
3.0097,31.464711
3.0098,31.456941
3.0099,31.456941
3.01,31.464711
3.0101,31.441402
3.0102,31.464712
3.0103,31.464712
3.0104,31.456942
3.0105,31.472481
3.0106,31.472481
3.0107,31.472481
3.0108,31.464712
3.0109,31.480251
3.011,31.48802
3.0111,31.472481
3.0112,31.456941
3.0113,31.441402
3.0114,31.433631
3.0115,31.441401
3.0116,31.425862
3.0117,31.410322
3.0118,31.402552
3.0119,31.394782
3.012,31.387013
3.0121,31.379243
3.0122,31.387013
3.0123,31.379244
3.0124,31.379244
3.0125,31.394784
3.0126,31.379244
3.0127,31.379244
3.0128,31.379244
3.0129,31.394784
3.013,31.402553
3.0131,31.402553
3.0132,31.410323
3.0133,31.418092
3.0134,31.441402
3.0135,31.441402
3.0136,31.441402
3.0137,31.449172
3.0138,31.456941
3.0139,31.464712
3.014,31.456942
3.0141,31.449173
3.0142,31.441403
3.0143,31.433634
3.0144,31.425864
3.0145,31.425864
3.0146,31.433634
3.0147,31.425864
3.0148,31.425864
3.0149,31.410324
3.015,31.418094
3.0151,31.418094
3.0152,31.425863
3.0153,31.425863
3.0154,31.441402
3.0155,31.441402
3.0156,31.441402
3.0157,31.425863
3.0158,31.418092
3.0159,31.418092
3.016,31.433632
3.0161,31.433632
3.0162,31.418092
3.0163,31.410323
3.0164,31.394783
3.0165,31.387013
3.0166,31.394783
3.0167,31.387013
3.0168,31.402553
3.0169,31.425863
3.017,31.433632
3.0171,31.425863
3.0172,31.425863
3.0173,31.449172
3.0174,31.449172
3.0175,31.480251
3.0176,31.464711
3.0177,31.464711
3.0178,31.464711
3.0179,31.464711
3.018,31.456941
3.0181,31.456941
3.0182,31.456941
3.0183,31.449172
3.0184,31.441402
3.0185,31.449172
3.0186,31.441402
3.0187,31.441402
3.0188,31.425863
3.0189,31.433632
3.019,31.418092
3.0191,31.418092
3.0192,31.402552
3.0193,31.394782
3.0194,31.402552
3.0195,31.402552
3.0196,31.394782
3.0197,31.394782
3.0198,31.394782
3.0199,31.402552
3.02,31.394783
3.0201,31.410323
3.0202,31.402553
3.0203,31.418093
3.0204,31.433633
3.0205,31.425863
3.0206,31.433633
3.0207,31.441402
3.0208,31.433633
3.0209,31.441403
3.021,31.441403
3.0211,31.441403
3.0212,31.433634
3.0213,31.433634
3.0214,31.418094
3.0215,31.402554
3.0216,31.402554
3.0217,31.387014
3.0218,31.379245
3.0219,31.355935
3.022,31.371474
3.0221,31.371474
3.0222,31.371474
3.0223,31.371474
3.0224,31.387013
3.0225,31.402553
3.0226,31.410324
3.0227,31.410324
3.0228,31.418094
3.0229,31.425863
3.023,31.456942
3.0231,31.441403
3.0232,31.449173
3.0233,31.449173
3.0234,31.464712
3.0235,31.449173
3.0236,31.441403
3.0237,31.449173
3.0238,31.456942
3.0239,31.456942
3.024,31.433633
3.0241,31.433633
3.0242,31.441402
3.0243,31.425863
3.0244,31.425863
3.0245,31.410324
3.0246,31.418093
3.0247,31.433632
3.0248,31.418092
3.0249,31.418092
3.025,31.433631
3.0251,31.456941
3.0252,31.456941
3.0253,31.449171
3.0254,31.456941
3.0255,31.464711
3.0256,31.472481
3.0257,31.472481
3.0258,31.456941
3.0259,31.464712
3.026,31.449172
3.0261,31.425863
3.0262000000000002,31.418093
3.0263,31.410324
3.0264,31.410324
3.0265,31.410324
3.0266,31.402554
3.0267,31.394784
3.0268,31.387015
3.0269,31.387015
3.027,31.394784
3.0271,31.402555
3.0272,31.418095
3.0273,31.433634
3.0274,31.425863
3.0275,31.433633
3.0276,31.433633
3.0277,31.433633
3.0278,31.425863
3.0279,31.425863
3.028,31.425863
3.0281,31.433632
3.0282,31.433632
3.0283,31.418092
3.0284,31.402553
3.0285,31.410324
3.0286,31.402554
3.0287,31.410324
3.0288,31.402553
3.0289,31.402553
3.029,31.410323
3.0291,31.418092
3.0292,31.418092
3.0293,31.410322
3.0294,31.425862
3.0295,31.441401
3.0296,31.44917
3.0297,31.45694
3.0298,31.44917
3.0299,31.46471
3.03,31.472481
3.0301,31.472481
3.0302,31.472481
3.0303,31.456941
3.0304,31.464712
3.0305,31.456942
3.0306,31.441403
3.0307,31.441403
3.0308,31.433634
3.0309,31.433634
3.031,31.433634
3.0311,31.425863
3.0312,31.402554
3.0313,31.387014
3.0314,31.394784
3.0315,31.402553
3.0316,31.402553
3.0317,31.402553
3.0318,31.387013
3.0319,31.394783
3.032,31.402552
3.0321,31.402552
3.0322,31.410323
3.0323,31.418092
3.0324,31.433632
3.0325,31.418092
3.0326,31.418092
3.0327,31.418092
3.0328,31.410322
3.0329,31.418092
3.033,31.418092
3.0331,31.410323
3.0332,31.402553
3.0333,31.402553
3.0334,31.418093
3.0335,31.410324
3.0336,31.410324
3.0337,31.410324
3.0338,31.425863
3.0339,31.441402
3.034,31.449172
3.0341,31.449172
3.0342,31.456941
3.0343,31.456941
3.0344,31.464711
3.0345,31.456941
3.0346,31.456941
3.0347,31.464712
3.0348,31.449172
3.0349,31.433633
3.035,31.425863
3.0351,31.418094
3.0352,31.418094
3.0353,31.402554
3.0354,31.402554
3.0355,31.394784
3.0356,31.394784
3.0357,31.402554
3.0358,31.387014
3.0359,31.402554
3.036,31.410324
3.0361,31.410324
3.0362,31.418093
3.0362999999999998,31.402553
3.0364,31.425863
3.0365,31.418092
3.0366,31.425862
3.0367,31.425862
3.0368,31.418092
3.0369,31.433632
3.037,31.425863
3.0371,31.418093
3.0372,31.425863
3.0373,31.418093
3.0374,31.425863
3.0375,31.410324
3.0376,31.418095
3.0377,31.410325
3.0378,31.402555
3.0379,31.410324
3.038,31.418094
3.0381,31.425863
3.0382,31.418093
3.0383,31.402553
3.0384,31.394783
3.0385,31.394783
3.0386,31.418092
3.0387,31.425861
3.0388,31.418091
3.0389,31.418091
3.039,31.418091
3.0391,31.410321
3.0392,31.402552
3.0393,31.402552
3.0394,31.410322
3.0395,31.425862
3.0396,31.433631
3.0397,31.402552
3.0398,31.402552
3.0399,31.410323
3.04,31.425863
3.0401,31.425863
3.0402,31.425863
3.0403000000000002,31.425863
3.0404,31.433633
3.0405,31.433633
3.0406,31.433633
3.0407,31.418093
3.0408,31.418093
3.0409,31.418093
3.041,31.418093
3.0411,31.410324
3.0412,31.410324
3.0413,31.394784
3.0414,31.402553
3.0415,31.410323
3.0416,31.418092
3.0417,31.410323
3.0418,31.402553
3.0419,31.418093
3.042,31.410324
3.0421,31.410324
3.0422,31.410324
3.0423,31.387014
3.0424,31.410324
3.0425,31.402554
3.0426,31.402554
3.0427,31.387014
3.0428,31.371474
3.0429,31.394784
3.043,31.387014
3.0431,31.394784
3.0432,31.394784
3.0433,31.394784
3.0434,31.418093
3.0435,31.410324
3.0436,31.410324
3.0437,31.402554
3.0438,31.418094
3.0439,31.449173
3.044,31.441403
3.0441,31.449173
3.0442,31.456942
3.0443,31.449172
3.0444,31.464711
3.0445,31.456941
3.0446,31.464711
3.0447,31.464711
3.0448,31.456941
3.0449,31.456941
3.045,31.441402
3.0451,31.449171
3.0452,31.441402
3.0453,31.418092
3.0454,31.433632
3.0455,31.425863
3.0456,31.418092
3.0457,31.410323
3.0458,31.410323
3.0459,31.418093
3.046,31.394784
3.0461,31.387013
3.0462,31.394783
3.0463,31.394783
3.0464,31.402553
3.0465,31.394784
3.0466,31.387014
3.0467,31.402554
3.0468,31.402554
3.0469,31.410324
3.047,31.410324
3.0471,31.433633
3.0472,31.433633
3.0473,31.425863
3.0474,31.433633
3.0475,31.433633
3.0476,31.441402
3.0477,31.441402
3.0478,31.425863
3.0479,31.425863
3.048,31.425863
3.0481,31.441402
3.0482,31.449171
3.0483,31.433632
3.0484,31.433632
3.0485,31.425863
3.0486,31.425863
3.0487,31.425863
3.0488,31.418092
3.0489,31.433632
3.049,31.433632
3.0491,31.425863
3.0492,31.410324
3.0493,31.402554
3.0494,31.425863
3.0495,31.425863
3.0496,31.425863
3.0497,31.433633
3.0498,31.433633
3.0499,31.441403
3.05,31.441403
3.0501,31.441403
3.0502,31.441403
3.0503,31.433633
3.0504,31.425863
3.0505,31.433633
3.0506,31.425863
3.0507,31.425863
3.0508,31.418094
3.0509,31.410324
3.051,31.402554
3.0511,31.402554
3.0512,31.402554
3.0513,31.394784
3.0514,31.410324
3.0515,31.418093
3.0516,31.410324
3.0517,31.418093
3.0518,31.410323
3.0519,31.418092
3.052,31.418092
3.0521,31.433632
3.0522,31.425863
3.0523,31.410323
3.0524,31.418093
3.0525,31.410324
3.0526,31.410324
3.0527,31.402553
3.0528,31.379244
3.0529,31.394784
3.053,31.394784
3.0531,31.394784
3.0532,31.387014
3.0533,31.379244
3.0534,31.418092
3.0535,31.418092
3.0536,31.410322
3.0537,31.410322
3.0538,31.418092
3.0539,31.433632
3.054,31.425863
3.0541,31.418093
3.0542,31.425863
3.0543,31.425863
3.0544,31.441402
3.0545,31.418094
3.0546,31.425863
3.0547,31.441403
3.0548,31.441403
3.0549,31.441403
3.055,31.441403
3.0551,31.441403
3.0552,31.449173
3.0553,31.433633
3.0554,31.433633
3.0555,31.410324
3.0556,31.410324
3.0557,31.410324
3.0558,31.394784
3.0559,31.379244
3.056,31.387013
3.0561,31.387013
3.0562,31.387013
3.0563,31.363704
3.0564,31.371474
3.0565,31.371474
3.0566,31.394784
3.0567,31.394784
3.0568,31.387014
3.0569,31.402554
3.057,31.418094
3.0571,31.418094
3.0572,31.418094
3.0573,31.425863
3.0574,31.449173
3.0575,31.456942
3.0576,31.464712
3.0577,31.464712
3.0578,31.464712
3.0579,31.472481
3.058,31.456941
3.0581,31.441402
3.0582,31.441402
3.0583,31.441402
3.0584,31.425862
3.0585,31.418092
3.0586,31.418092
3.0587,31.402552
3.0588,31.387013
3.0589,31.387013
3.059,31.371473
3.0591,31.371473
3.0592,31.379243
3.0593,31.363703
3.0594,31.379242
3.0595,31.402552
3.0596,31.402552
3.0597,31.410321
3.0598,31.433631
3.0599,31.441401
3.06,31.44917
3.0601,31.46471
3.0602,31.48025
3.0603,31.48025
3.0604,31.503559
3.0605,31.48025
3.0606,31.464711
3.0607,31.472481
3.0608,31.441402
3.0609,31.433632
3.061,31.425862
3.0611,31.418092
3.0612,31.418092
3.0613,31.402552
3.0614,31.402552
3.0615,31.387013
3.0616,31.402553
3.0617,31.410323
3.0618,31.387013
3.0619,31.410323
3.062,31.402553
3.0621,31.410324
3.0622,31.410324
3.0623,31.379245
3.0624,31.402554
3.0625,31.402554
3.0626,31.402554
3.0627,31.387014
3.0628,31.363705
3.0629,31.402553
3.063,31.394784
3.0631,31.402553
3.0632,31.410323
3.0633,31.410323
3.0634,31.433632
3.0635,31.418093
3.0636,31.425863
3.0637,31.425863
3.0638,31.433633
