Time,Temperature
0.0,29.637049
0.001,29.621519
0.002,29.675874
0.003,29.652579
0.004,29.660344
0.005,29.683639
0.006,29.668109
0.007,29.652579
0.008,29.637049
0.009,29.652579
0.01,29.668109
0.011,29.668108
0.012,29.675874
0.013,29.660344
0.014,29.644814
0.015,29.644814
0.016,29.668109
0.017,29.621518
0.018,29.613754
0.019,29.652579
0.02,29.629284
0.021,29.637049
0.022,29.644814
0.023,29.652579
0.024,29.652579
0.025,29.668109
0.026,29.675874
0.027,29.660344
0.028,29.644814
0.029,29.691404
0.03,29.675874
0.031,29.668109
0.032,29.683639
0.033,29.660344
0.034,29.675874
0.035,29.675874
0.036,29.683639
0.037,29.668109
0.038,29.660344
0.039,29.675874
0.04,29.660344
0.041,29.629284
0.042,29.668109
0.043,29.660344
0.044,29.675874
0.045,29.668109
0.046,29.660344
0.047,29.675873
0.048,29.605988
0.049,29.621518
0.05,29.675874
0.051,29.652579
0.052,29.621519
0.053,29.644814
0.054,29.629284
0.055,29.629283
0.056,29.644814
0.057,29.629284
0.058,29.621519
0.059,29.652579
0.06,29.621519
0.061,29.629283
0.062,29.621519
0.063,29.660344
0.064,29.652579
0.065,29.644814
0.066,29.644814
0.067,29.598224
0.068,29.644814
0.069,29.637049
0.07,29.652579
0.071,29.629284
0.072,29.652579
0.073,29.613753
0.074,29.613753
0.075,29.652579
0.076,29.660344
0.077,29.644814
0.078,29.660344
0.079,29.706934
0.08,29.675874
0.081,29.652579
0.082,29.652579
0.083,29.691404
0.084,29.675874
0.085,29.660344
0.086,29.722464
0.087,29.714699
0.088,29.675874
0.089,29.683639
0.09,29.699169
0.091,29.706934
0.092,29.730229
0.093,29.722464
0.094,29.691404
0.095,29.691404
0.096,29.691404
0.097,29.706934
0.098,29.722464
0.099,29.737994
0.1,29.714699
0.101,29.714699
0.102,29.699169
0.103,29.699169
0.104,29.699169
0.105,29.691404
0.106,29.761289
0.107,29.714699
0.108,29.691403
0.109,29.699169
0.11,29.675874
0.111,29.714699
0.112,29.714699
0.113,29.730229
0.114,29.722464
0.115,29.699169
0.116,29.714699
0.117,29.675873
0.118,29.668108
0.119,29.737994
0.12,29.683639
0.121,29.730229
0.122,29.722464
0.123,29.699169
0.124,29.675874
0.125,29.691404
0.126,29.722464
0.127,29.699169
0.128,29.683639
0.129,29.714699
0.13,29.714699
0.131,29.706934
0.132,29.730229
0.133,29.753524
0.134,29.714699
0.135,29.722464
0.136,29.737994
0.137,29.706934
0.138,29.691403
0.139,29.699169
0.14,29.722464
0.141,29.691404
0.142,29.691404
0.143,29.706934
0.144,29.683639
0.145,29.699169
0.146,29.714699
